School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Lafayette,5,24,97,953,557,3317,0.119,900,1331,130,39,176,127,1315,478,3317,0.252
Loyola Chicago,5,24,104,1141,639,3558,0.141,1081,1436,119,35,284,177,1315,480,3448,0.242
Rutgers,5,27,107,1038,590,3156,0.142,981,1102,121,22,332,188,1401,459,3115,0.302
UMass Lowell,5,21,90,1022,613,3144,0.13,969,1247,121,28,244,150,1091,452,2993,0.213
William & Mary,5,25,114,1334,652,3841,0.178,1264,1647,95,37,320,197,1544,557,3986,0.248
Coppin St.,4,26,101,947,612,3271,0.102,880,1324,119,33,166,116,1230,455,3157,0.245
Lamar University,4,22,91,1072,556,3187,0.162,1020,1275,97,25,265,157.5,1179,456,3119,0.232
N.C. Central,4,20,84,811,476,2785,0.12,734,1159,82,38,198,137,1103,442,2888,0.229
Nicholls St.,4,25,101,1051,567,3544,0.137,1002,1548,123,45,176,133,1320,473,3503,0.242
Savannah St.,4,24,97,847,561,2776,0.103,779,945,120,39,188,133,1215,439,2762,0.281
Tennessee Tech,4,24,97,1091,559,3573,0.149,995,1559,96,41,194,138,1361,505,3666,0.233
Delaware St.,3,25,97,839,597,2928,0.083,779,1173,113,22,214,129,1298,419,3053,0.288
Norfolk St.,3,23,96,935,615,2944,0.109,873,1115,124,35,198,134,1071,450,2814,0.221
San Francisco,3,28,106,1086,568,3556,0.146,1013,1357,106,67,263,198.5,1514,519,3645,0.273
Southeastern La.,3,27,103,1110,619,3511,0.14,1034,1389,104,26,247,149.5,1391,478,3493,0.261
Stetson,3,23,98,1026,505,3480,0.15,956,1552,112,61,298,210,1429,549,3793,0.232
Alcorn,2,39,136,1118,907,4218,0.05,1017,1601,157,35,196,133,1492,545,3881,0.244
Manhattan,2,29,106,1049,533,3330,0.155,982,1420,128,32,266,165,1433,543,3648,0.244
South Dakota St.,2,25,89,923,525,3055,0.13,867,1203,88,41,198,140,1270,438,3102,0.268
South Carolina St.,1,26,89,782,557,2654,0.085,729,1013,116,33,178,122,1142,401,2697,0.275
Saint Peter's,0,30,96,753,517,3101,0.076,698,1326,121,26,207,129.5,1358,490,3374,0.257
